parcel,bedrooms,bathrooms,living_area,total_value,half_baths,purchase_date,construction_quality,condition_score,garage_type,finished_basement,total_land,zipcodes,house_age,Inflation_Adj_Cost1,Inflation_Adj_Cost2
71205018,4,2,2526,193000,1,1971,B+ / GOOD+,GOOD,ATTACHED,No,11250.0,44124,49,0.0,204580.0
71205020,4,2,2760,211300,1,1971,B+ / GOOD+,GOOD,ATTACHED,No,11250.0,44124,49,317340.0,0.0
71205022,3,2,2347,201800,1,1968,B+ / GOOD+,GOOD,ATTACHED,No,12324.0,44124,52,124000.0,0.0
71205024,4,2,2620,219500,1,1969,B+ / GOOD+,GOOD,ATTACHED,No,16102.0,44124,51,289500.0,0.0
71205026,3,2,2214,208400,1,1969,B+ / GOOD+,GOOD,ATTACHED,No,16575.0,44124,51,197064.00000000003,0.0
71205028,5,2,3028,229900,1,1967,B+ / GOOD+,GOOD,ATTACHED,No,16480.0,44124,53,451490.0,0.0
71205030,3,2,2527,199600,1,1968,B+ / GOOD+,GOOD,ATTACHED,No,10500.0,44124,52,330040.0,0.0
71205032,3,1,2395,198400,1,1970,B+ / GOOD+,GOOD,ATTACHED,No,11550.0,44124,50,0.0,209000.00000000003
71205034,4,2,2356,206200,1,1970,B+ / GOOD+,GOOD,ATTACHED,No,13090.0,44124,50,222995.0,0.0
71205036,5,3,2511,207000,0,1973,B+ / GOOD+,GOOD,ATTACHED,No,13200.0,44124,47,371490.0,303875.0
71205038,3,2,2556,206900,1,1973,B+ / GOOD+,GOOD,ATTACHED,,12450.0,44124,47,0.0,0.0
71205040,4,2,2772,192500,0,1972,B+ / GOOD+,GOOD,ATTACHED,,6750.0,44124,48,183490.0,121000.0
71205042,4,2,2168,195400,0,1973,B+ / GOOD+,GOOD,ATTACHED,No,12300.0,44124,47,319500.0,290500.0
71205044,4,2,2168,195300,0,1971,B+ / GOOD+,GOOD,ATTACHED,No,12300.0,44124,49,287040.0,217299.99999999997
71205046,4,1,1886,186900,1,1971,B+ / GOOD+,GOOD,ATTACHED,No,12225.0,44124,49,0.0,0.0
71205048,4,2,2364,187000,0,1970,B+ / GOOD+,GOOD,ATTACHED,No,12000.0,44124,50,253400.0,206789.99999999997
71205050,4,2,2264,197600,0,1970,B+ / GOOD+,GOOD,ATTACHED,No,12000.0,44124,50,275900.0,251900.00000000003
71205052,4,3,2168,192000,0,1971,C+ / AVERAGE+,GOOD,ATTACHED,No,12000.0,44124,49,217830.0,126440.00000000001
71205054,4,2,2316,199200,1,1971,B+ / GOOD+,GOOD,ATTACHED,No,12000.0,44124,49,170688.00000000003,0.0
71205056,4,2,2128,193600,1,1972,B+ / GOOD+,GOOD,ATTACHED,No,12000.0,44124,48,186000.0,0.0
71206002,3,2,1896,188800,0,1969,B+ / GOOD+,GOOD,ATTACHED,No,12000.0,44124,51,162400.00000000003,0.0
71206004,4,2,1872,185300,1,1968,B / GOOD,GOOD,ATTACHED,No,12150.0,44124,52,266000.0,246960.0
71206006,4,2,2487,193100,1,1966,B / GOOD,GOOD,ATTACHED,No,12880.0,44124,54,254800.0,0.0
71206008,4,2,2319,198300,1,1966,B / GOOD,GOOD,ATTACHED,No,12150.0,44124,54,220000.0,247000.0
71206010,4,2,2156,193700,1,1967,B / GOOD,GOOD,ATTACHED,No,12225.0,44124,53,247000.0,0.0
71206012,5,1,3081,216300,3,1970,B / GOOD,GOOD,ATTACHED,,11250.0,44124,50,0.0,317520.0
71206014,4,2,2196,193800,1,1973,A / VERY-GOOD,GOOD,ATTACHED,No,11250.0,44124,47,202000.0,256060.0
71206016,4,1,2060,187700,1,1969,B / GOOD,GOOD,ATTACHED,No,11250.0,44124,51,232140.0,219710.0
71206018,4,2,2241,193200,1,1970,B / GOOD,GOOD,ATTACHED,No,11250.0,44124,50,0.0,319000.0
71206020,3,1,2461,165000,1,1973,B+ / GOOD+,GOOD,ATTACHED,No,11850.0,44124,47,0.0,0.0
71206022,4,2,2124,175000,1,1969,B / GOOD,GOOD,ATTACHED,No,10500.0,44124,51,190750.0,0.0
71206024,3,2,2400,219000,1,1969,B / GOOD,GOOD,ATTACHED,No,11550.0,44124,51,0.0,220799.99999999997
71206026,4,2,2100,191200,1,1966,B / GOOD,GOOD,ATTACHED,No,11775.0,44124,54,0.0,0.0
71206028,3,2,2628,205300,0,1969,B / GOOD,AVERAGE,ATTACHED,No,11700.0,44124,51,228660.0,0.0
71206030,4,2,2432,200300,1,1971,B+ / GOOD+,GOOD,ATTACHED,No,11625.0,44124,49,206500.0,277680.0
71206032,3,2,2246,195100,1,1967,B / GOOD,GOOD,ATTACHED,No,11625.0,44124,53,0.0,0.0
71206034,3,1,3281,216000,2,1975,A / VERY-GOOD,VERY-GOOD,ATTACHED,No,11850.0,44124,45,0.0,267600.0
71206036,3,2,2165,173500,1,1967,B / GOOD,AVERAGE,ATTACHED,No,12000.0,44124,53,194320.00000000003,204600.0
71206038,3,1,2656,211700,2,1970,B / GOOD,GOOD,ATTACHED,No,12865.0,44124,50,193520.0,340400.0
71206040,5,2,2426,172000,1,1970,B / GOOD,FAIR,ATTACHED,No,11100.0,44124,50,0.0,187480.0
71206042,4,2,2428,210200,1,1966,B / GOOD,GOOD,ATTACHED,No,19096.0,44124,54,0.0,0.0
71206044,3,2,2240,190500,1,1970,B / GOOD,GOOD,ATTACHED,No,10500.0,44124,50,0.0,0.0
71206046,3,2,2275,172300,1,1968,B / GOOD,GOOD,ATTACHED,No,10500.0,44124,52,278250.0,0.0
71206048,4,2,2278,197200,1,1970,B / GOOD,GOOD,ATTACHED,No,12225.0,44124,50,0.0,351840.0
71206050,4,2,2578,205300,1,1970,B / GOOD,GOOD,ATTACHED,No,12150.0,44124,50,0.0,0.0
71206052,3,2,2240,196100,0,1970,B / GOOD,GOOD,ATTACHED,No,12075.0,44124,50,210120.0,226800.00000000003
71206054,4,2,2904,200000,1,1969,B / GOOD,GOOD,ATTACHED,No,13524.0,44124,51,217500.0,218000.00000000003
71206056,4,2,2220,203700,0,1969,B / GOOD,GOOD,ATTACHED,No,13590.0,44124,51,0.0,230280.0
71206058,4,2,2100,130000,1,1969,B+ / GOOD+,GOOD,ATTACHED,No,12104.0,44124,51,126100.0,0.0
71206060,3,2,2992,215500,1,1970,B / GOOD,GOOD,ATTACHED,,12000.0,44124,50,0.0,0.0
71206062,3,3,2706,207100,0,1970,C+ / AVERAGE+,GOOD,ATTACHED,,12000.0,44124,50,0.0,242525.00000000003
71206064,4,2,2220,193500,1,1970,C+ / AVERAGE+,GOOD,ATTACHED,No,12000.0,44124,50,287180.0,196393.99999999997
71206066,4,2,2168,194900,0,1971,B+ / GOOD+,GOOD,ATTACHED,No,12000.0,44124,49,0.0,0.0
