71202032,2,1,"1,316",116300,1,1960,C+ / AVERAGE+,5164 CASE AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",7/16/04,142000,8/22/97,101000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202034,3,2,"1,395",119400,0,1941,C+ / AVERAGE+,5152 CASE AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",8/18/06,166000,6/15/04,142000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202036,4,2,"1,514",122600,0,1925,C / AVERAGE,5159 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",8/31/06,180000,3/29/99,111500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202038,3,1,"1,448",121600,0,1942,B / GOOD,5167 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",12/20/12,0,11/14/08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202040,3,1,"1,875",145500,0,1952,C+ / AVERAGE+,5179 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"11,900",10/21/03,0,6/28/99,125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202042,2,1,"1,384",119000,0,1953,C+ / AVERAGE+,5191 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",8/22/05,0,12/27/01,104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202044,3,2,"1,437",120900,0,1952,C+ / AVERAGE+,5199 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",7/29/19,150000,10/16/15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202046,3,2,"1,580",125000,0,1953,C+ / AVERAGE+,5211 LYND AVE,"LYNDHURST, OH. 44124",AVERAGE,DETACHED,No,"8,500",3/12/15,99500,3/12/15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202048,3,1,"1,496",121700,1,1941,C+ / AVERAGE+,5219 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",6/18/19,139000,8/31/06,135000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202050,3,2,"1,448",121300,0,1941,C+ / AVERAGE+,5231 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",9/22/05,162000,1/26/01,136900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202052,3,1,"1,142",119200,0,1941,C / AVERAGE,5236 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"5,500",11/2/06,165300,9/5/01,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202054,3,1,"1,708",127600,1,1964,C+ / AVERAGE+,5228 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,No,"8,500",9/14/09,0,8/24/77,55500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202056,3,1,"1,451",64600,1,1949,B / GOOD,5216 LYND AVE,"LYNDHURST, OH. 44124",FAIR,ATTACHED,No,"8,500",12/19/18,106000,7/22/16,64555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202058,3,2,"1,736",128000,0,1941,C / AVERAGE,5208 LYND AVE,"LYNDHURST, OH. 44124",GOOD,ATTACHED,No,"8,500",5/30/18,155000,8/21/09,152000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71202060,3,1,"1,057",108400,0,1961,C+ / AVERAGE+,5196 LYND AVE,"LYNDHURST, OH. 44124",GOOD,DETACHED,N/A,"8,500",4/30/01,118500,11/6/00,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
