Parcel,Bedrooms,Bathrooms,Living_area,Total_Value,Half_Baths,Purchase_Date,Construction_Quality,Address1,Address2,Condition_Score,Garage_Type,Finished_Basement,Total_Land,First_Sale_Date,First_Sale_Price,Second_Sale_Date,Second_Sale_Price
71222014,3,2,2330,159200,1,1985,C+ / AVERAGE+,1299 FORD RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,8000,1/13/1987,0,9/12/1985,91400
71222015,3,1,1779,131100,1,1952,B / GOOD,1293 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8000,2/2/2015,66667,7/24/2008,170000
71222016,5,1,1800,148600,0,1950,B+ / GOOD+,1287 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8000,10/27/2010,0,8/5/2008,163000
71222017,4,1,1646,143700,1,1950,B / GOOD,1283 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8000,9/12/2019,178000,9/24/1999,154000
71222018,4,1,2216,140600,1,1952,B / GOOD,1277 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,5/4/1998,159900,9/28/1994,146000
71222019,4,1,1554,139200,1,1951,B / GOOD,1273 FORD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,9/14/2018,140000,7/14/1994,136000
71222020,3,1,1608,121300,1,1952,B / GOOD,1274 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,3/21/2019,144000,12/30/2010,82000
71222021,3,1,1688,123700,1,1952,B / GOOD,1278 BRAINARD RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,8000,7/26/2018,180000,6/8/2016,0
71222022,5,1,1331,114900,1,1952,B / GOOD,1284 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,4/13/2005,0,10/27/1997,107000
71222023,3,1,1505,119300,1,1952,B / GOOD,1288 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,9/11/1986,70000,4/1/1985,0
71222024,3,1,1540,120300,1,1952,B / GOOD,1294 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,8/5/2010,103500,3/4/2010,38000
71222025,4,1,1507,119200,1,1951,B / GOOD,1300 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,12/30/2013,120000,9/2/2003,150000
71222026,3,1,1705,124000,1,1952,B / GOOD,1304 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,N/A,8000,7/19/2018,168500,5/9/2017,80277
71222027,3,1,1468,125800,1,1952,C / AVERAGE,1308 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9600,11/25/2014,129000,4/7/2014,71000
71222028,4,1,1468,128400,1,1952,B / GOOD,1314 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,10400,8/11/1986,71000,4/3/1985,0
71222030,3,1,1780,152500,1,1949,B / GOOD,1324 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,11680,7/20/2018,169500,6/29/2016,152500
71222031,3,1,1446,125700,1,1948,B / GOOD,1334 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,9920,6/1/2005,0,7/29/1998,127500
71222032,4,2,1858,127200,0,1949,B / GOOD,1340 BRAINARD RD,"LYNDHURST, OH. 44124",GOOD,ATTACHED,N/A,8000,7/3/2018,156000,7/26/2012,0
71222033,4,2,1396,127200,1,1949,B / GOOD,1344 BRAINARD RD,"LYNDHURST, OH. 44124",AVERAGE,ATTACHED,No,8000,5/16/1985,50000,1/1/1975,0
